Log file: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\scripts\results\logs\run_moons_ablation_20260402_215247.log

===== Moons Width Ablation: h = 2 =====
Epoch 380, Train Loss: 0.1652, Train Acc: 0.9250, Val Loss: 0.1267, Val Acc: 0.9875
Epoch 390, Train Loss: 0.1600, Train Acc: 0.9250, Val Loss: 0.1229, Val Acc: 0.9875
Epoch 400, Train Loss: 0.1552, Train Acc: 0.9250, Val Loss: 0.1198, Val Acc: 0.9875
Epoch 410, Train Loss: 0.1508, Train Acc: 0.9292, Val Loss: 0.1166, Val Acc: 0.9875
Epoch 420, Train Loss: 0.1468, Train Acc: 0.9292, Val Loss: 0.1140, Val Acc: 0.9875
Epoch 430, Train Loss: 0.1430, Train Acc: 0.9375, Val Loss: 0.1107, Val Acc: 0.9875
Epoch 440, Train Loss: 0.1395, Train Acc: 0.9417, Val Loss: 0.1080, Val Acc: 0.9875
Epoch 450, Train Loss: 0.1363, Train Acc: 0.9458, Val Loss: 0.1055, Val Acc: 0.9875
Epoch 460, Train Loss: 0.1332, Train Acc: 0.9417, Val Loss: 0.1040, Val Acc: 0.9875
Epoch 470, Train Loss: 0.1305, Train Acc: 0.9583, Val Loss: 0.1015, Val Acc: 0.9875
Epoch 480, Train Loss: 0.1278, Train Acc: 0.9417, Val Loss: 0.1005, Val Acc: 0.9875
Epoch 490, Train Loss: 0.1254, Train Acc: 0.9500, Val Loss: 0.0992, Val Acc: 0.9875
Train - Loss: 0.1233, Acc: 0.9542
Val   - Loss: 0.0968, Acc: 0.9875
Test  - Loss: 0.1173, Acc: 0.9750

===== Moons Width Ablation: h = 32 =====
Epoch 0, Train Loss: 0.6161, Train Acc: 0.7417, Val Loss: 0.6091, Val Acc: 0.7625
Epoch 10, Train Loss: 0.3673, Train Acc: 0.8333, Val Loss: 0.3030, Val Acc: 0.8625
Epoch 20, Train Loss: 0.3210, Train Acc: 0.8583, Val Loss: 0.2469, Val Acc: 0.8750
Epoch 30, Train Loss: 0.3053, Train Acc: 0.8625, Val Loss: 0.2288, Val Acc: 0.8750
Epoch 40, Train Loss: 0.2996, Train Acc: 0.8625, Val Loss: 0.2221, Val Acc: 0.8750
Epoch 50, Train Loss: 0.2975, Train Acc: 0.8625, Val Loss: 0.2195, Val Acc: 0.8750
Epoch 60, Train Loss: 0.2966, Train Acc: 0.8625, Val Loss: 0.2180, Val Acc: 0.8750
Epoch 70, Train Loss: 0.2962, Train Acc: 0.8625, Val Loss: 0.2174, Val Acc: 0.8750
Epoch 80, Train Loss: 0.2960, Train Acc: 0.8625, Val Loss: 0.2168, Val Acc: 0.8875
Epoch 90, Train Loss: 0.2958, Train Acc: 0.8625, Val Loss: 0.2167, Val Acc: 0.8750
Epoch 100, Train Loss: 0.2956, Train Acc: 0.8625, Val Loss: 0.2163, Val Acc: 0.8875
Epoch 110, Train Loss: 0.2955, Train Acc: 0.8625, Val Loss: 0.2162, Val Acc: 0.8750
Epoch 120, Train Loss: 0.2954, Train Acc: 0.8625, Val Loss: 0.2161, Val Acc: 0.8750
Epoch 130, Train Loss: 0.2952, Train Acc: 0.8625, Val Loss: 0.2158, Val Acc: 0.8750
Epoch 140, Train Loss: 0.2951, Train Acc: 0.8667, Val Loss: 0.2156, Val Acc: 0.8875
Epoch 150, Train Loss: 0.2949, Train Acc: 0.8625, Val Loss: 0.2155, Val Acc: 0.8750
Epoch 160, Train Loss: 0.2948, Train Acc: 0.8625, Val Loss: 0.2155, Val Acc: 0.8750
Epoch 170, Train Loss: 0.2947, Train Acc: 0.8667, Val Loss: 0.2149, Val Acc: 0.8875
Epoch 180, Train Loss: 0.2944, Train Acc: 0.8625, Val Loss: 0.2151, Val Acc: 0.8750
Epoch 190, Train Loss: 0.2941, Train Acc: 0.8625, Val Loss: 0.2145, Val Acc: 0.8875
Epoch 200, Train Loss: 0.2938, Train Acc: 0.8667, Val Loss: 0.2140, Val Acc: 0.8875
Epoch 210, Train Loss: 0.2934, Train Acc: 0.8625, Val Loss: 0.2139, Val Acc: 0.8750
Epoch 220, Train Loss: 0.2930, Train Acc: 0.8667, Val Loss: 0.2132, Val Acc: 0.8875
Epoch 230, Train Loss: 0.2925, Train Acc: 0.8625, Val Loss: 0.2129, Val Acc: 0.8875
Epoch 240, Train Loss: 0.2920, Train Acc: 0.8667, Val Loss: 0.2121, Val Acc: 0.8875
Epoch 250, Train Loss: 0.2908, Train Acc: 0.8667, Val Loss: 0.2116, Val Acc: 0.8875
Epoch 260, Train Loss: 0.2896, Train Acc: 0.8750, Val Loss: 0.2108, Val Acc: 0.8750
Epoch 270, Train Loss: 0.2880, Train Acc: 0.8750, Val Loss: 0.2095, Val Acc: 0.8875
