Log file: C:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\scripts\results\logs\run_digits_optimizers_20260402_004945.log

===== Optimizer: sgd =====
[adam] Epoch 100, Train Loss: 0.0636, Train Acc: 0.9944, Val Loss: 0.1192, Val Acc: 0.9662
[adam] Epoch 110, Train Loss: 0.0573, Train Acc: 0.9953, Val Loss: 0.1141, Val Acc: 0.9634
[adam] Epoch 120, Train Loss: 0.0518, Train Acc: 0.9944, Val Loss: 0.1135, Val Acc: 0.9690
[adam] Epoch 130, Train Loss: 0.0471, Train Acc: 0.9953, Val Loss: 0.1104, Val Acc: 0.9690
[adam] Epoch 140, Train Loss: 0.0432, Train Acc: 0.9963, Val Loss: 0.1075, Val Acc: 0.9690
[adam] Epoch 150, Train Loss: 0.0397, Train Acc: 0.9972, Val Loss: 0.1059, Val Acc: 0.9690
[adam] Epoch 160, Train Loss: 0.0369, Train Acc: 0.9972, Val Loss: 0.1032, Val Acc: 0.9690
[adam] Epoch 170, Train Loss: 0.0346, Train Acc: 0.9991, Val Loss: 0.1030, Val Acc: 0.9690
[adam] Epoch 180, Train Loss: 0.0326, Train Acc: 1.0000, Val Loss: 0.1021, Val Acc: 0.9690
[adam] Epoch 190, Train Loss: 0.0309, Train Acc: 1.0000, Val Loss: 0.1000, Val Acc: 0.9690
[adam] Epoch 200, Train Loss: 0.0295, Train Acc: 1.0000, Val Loss: 0.0993, Val Acc: 0.9662
[adam] Epoch 210, Train Loss: 0.0284, Train Acc: 1.0000, Val Loss: 0.0981, Val Acc: 0.9662
[adam] Epoch 220, Train Loss: 0.0274, Train Acc: 1.0000, Val Loss: 0.0985, Val Acc: 0.9662
[adam] Epoch 230, Train Loss: 0.0265, Train Acc: 1.0000, Val Loss: 0.0979, Val Acc: 0.9662
[adam] Epoch 240, Train Loss: 0.0258, Train Acc: 1.0000, Val Loss: 0.0971, Val Acc: 0.9662
[adam] Epoch 250, Train Loss: 0.0252, Train Acc: 1.0000, Val Loss: 0.0967, Val Acc: 0.9662
[adam] Epoch 260, Train Loss: 0.0247, Train Acc: 1.0000, Val Loss: 0.0962, Val Acc: 0.9690
[adam] Epoch 270, Train Loss: 0.0242, Train Acc: 1.0000, Val Loss: 0.0963, Val Acc: 0.9662
[adam] Epoch 280, Train Loss: 0.0239, Train Acc: 1.0000, Val Loss: 0.0953, Val Acc: 0.9690
[adam] Epoch 290, Train Loss: 0.0236, Train Acc: 1.0000, Val Loss: 0.0963, Val Acc: 0.9662
[adam] Epoch 300, Train Loss: 0.0232, Train Acc: 1.0000, Val Loss: 0.0951, Val Acc: 0.9690
[adam] Epoch 310, Train Loss: 0.0230, Train Acc: 1.0000, Val Loss: 0.0955, Val Acc: 0.9662
[adam] Epoch 320, Train Loss: 0.0227, Train Acc: 1.0000, Val Loss: 0.0955, Val Acc: 0.9690
[adam] Epoch 330, Train Loss: 0.0226, Train Acc: 1.0000, Val Loss: 0.0948, Val Acc: 0.9690
[adam] Epoch 340, Train Loss: 0.0224, Train Acc: 1.0000, Val Loss: 0.0951, Val Acc: 0.9690
[adam] Epoch 350, Train Loss: 0.0222, Train Acc: 1.0000, Val Loss: 0.0952, Val Acc: 0.9718
[adam] Epoch 360, Train Loss: 0.0221, Train Acc: 1.0000, Val Loss: 0.0955, Val Acc: 0.9690
[adam] Epoch 370, Train Loss: 0.0219, Train Acc: 1.0000, Val Loss: 0.0959, Val Acc: 0.9690
[adam] Epoch 380, Train Loss: 0.0218, Train Acc: 1.0000, Val Loss: 0.0965, Val Acc: 0.9718
[adam] Epoch 390, Train Loss: 0.0217, Train Acc: 1.0000, Val Loss: 0.0963, Val Acc: 0.9690
[adam] Epoch 400, Train Loss: 0.0216, Train Acc: 1.0000, Val Loss: 0.0955, Val Acc: 0.9690
[adam] Epoch 410, Train Loss: 0.0215, Train Acc: 1.0000, Val Loss: 0.0954, Val Acc: 0.9718
[adam] Epoch 420, Train Loss: 0.0214, Train Acc: 1.0000, Val Loss: 0.0968, Val Acc: 0.9718
[adam] Epoch 430, Train Loss: 0.0213, Train Acc: 1.0000, Val Loss: 0.0959, Val Acc: 0.9718
[adam] Epoch 440, Train Loss: 0.0213, Train Acc: 1.0000, Val Loss: 0.0955, Val Acc: 0.9746
[adam] Epoch 450, Train Loss: 0.0212, Train Acc: 1.0000, Val Loss: 0.0952, Val Acc: 0.9718
[adam] Epoch 460, Train Loss: 0.0211, Train Acc: 1.0000, Val Loss: 0.0958, Val Acc: 0.9775
[adam] Epoch 470, Train Loss: 0.0210, Train Acc: 1.0000, Val Loss: 0.0965, Val Acc: 0.9775
[adam] Epoch 480, Train Loss: 0.0210, Train Acc: 1.0000, Val Loss: 0.0958, Val Acc: 0.9746
[adam] Epoch 490, Train Loss: 0.0209, Train Acc: 1.0000, Val Loss: 0.0940, Val Acc: 0.9718
adam Best Epoch: 348
Train - Loss: 0.0223, Acc: 1.0000
Val   - Loss: 0.0938, Acc: 0.9718
Test  - Loss: 0.1863, Acc: 0.9511

===== Summary =====
sgd: Val Loss=0.1132, Val Acc=0.9634, Test Loss=0.1796, Test Acc=0.9457
momentum: Val Loss=0.1073, Val Acc=0.9634, Test Loss=0.1812, Test Acc=0.9457
adam: Val Loss=0.0938, Val Acc=0.9718, Test Loss=0.1863, Test Acc=0.9511

Finished successfully.
Saved log to: C:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\scripts\results\logs\run_digits_optimizers_20260402_004945.log
